audio_filepath,duration,text,gender,age-group,primary_language,native_place_state,native_place_district,highest_qualification,job_category,occupation_domain
audio/281474976895884_f536_chunk_1.wav,2.926625,so I would like to reset it to another one.,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976887058_f248_chunk_0.wav,2.9855,When will Dairy Items be available?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883994_f3251_chunk_1.wav,3.0,include 4 to 5 themes,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887083_f2168_chunk_1.wav,3.0289375,are easily available in Gujarat,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887064_f250_chunk_0.wav,3.0734375,Please tell me about the benifits of Health Insurance,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887089_f1758_chunk_3.wav,3.1410625,"in Gujarati medium opt for only Gujarati communication,",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887089_f1758_chunk_6.wav,3.1636875,opt for English as a way of communication,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887057_f2690_chunk_0.wav,3.2608125,What are the best selling recommendations on Juices ?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887671_f400_chunk_0.wav,3.2664375,i want to thank everyone for the birthday wishes.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887070_f2529_chunk_2.wav,3.3708125,Managed institutes offering PG level,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883970_f1036_chunk_0.wav,3.4059375,How much money is remaining in my Nagaland Rural Bank account?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883994_f3251_chunk_0.wav,3.4425,The main beliefs and teachings of this religion,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887083_f2168_chunk_0.wav,3.447625,Vocational training or skill development opportunity,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883972_f2617_chunk_0.wav,3.5195,Show me the new features available in the updated version of Airtel Money,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887081_f2283_chunk_9.wav,3.5406875,which are typically in my regional language that is Kathiawadi,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887070_f2529_chunk_3.wav,3.6318125,programs in Hotel Management and Catering ?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883967_f2572_chunk_0.wav,3.63375,I want to return product Hello Tempayy Soyabean Tempeh Cubes,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887059_f249_chunk_0.wav,3.6381875,I recieved a product of another brand of Kelloggs Muesli,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887077_f3162_chunk_0.wav,3.647,Can you speak the five dates that you remember?,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883957_f1030_chunk_0.wav,3.79625,Attacks targeting police have become common in the Nangarhar province,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887680_f2945_chunk_0.wav,3.82575,Can you Autopay my DTH and DTH bills for the next 2 months?,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883988_f2063_chunk_0.wav,3.9425625,What do you do to stay motivated and focused while writing?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976885727_f2189_chunk_1.wav,3.9628125,"His works, his dramas are very good and influential.",Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887070_f2529_chunk_0.wav,4.0231875,In the academic year 2019 - 2020,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883989_f3285_chunk_1.wav,4.0261875,"Actually, I have not used Netflix, but I have used Prime videos.",Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887089_f1758_chunk_1.wav,4.067625,main medium of communication has been Gujarati,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887682_f345_chunk_0.wav,4.0750625,I am unable to deactivate autopay for my TataCliq.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976895918_f1832_chunk_0.wav,4.0888125,I do much Riyaz or practice before the recording session.,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976883994_f3251_chunk_5.wav,4.115,And the other thing is to never lie under oath,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887078_f1937_chunk_0.wav,4.1276875,"Yes, I have read a book other than my native language",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887677_f683_chunk_0.wav,4.1895625,What are the new products with discounts of at least 30%,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887089_f1758_chunk_2.wav,4.2031875,70% of the rural schools in Gujarat which are,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887067_f251_chunk_0.wav,4.321625,Find all Free vaccination centres which provide Second Dose.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976885716_f1823_chunk_0.wav,4.359,Capturing candid moment can make a great portrait I think.,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976887706_f2223_chunk_2.wav,4.366,"which run courses like B.Ed, Nursing",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887084_f1850_chunk_5.wav,4.4505,and it is a nice platform available to the artist,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887069_f2936_chunk_2.wav,4.5300625,find all applied Renewal scholarship applications.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887086_f1867_chunk_0.wav,4.57425,The healthcare system of Ahmedabad district is well sufficient,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887084_f1850_chunk_0.wav,4.6103125,There are state wise and city wise association regarding art forms,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887083_f2168_chunk_2.wav,4.6296875,Government and private sector institutes are available for skill development,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887707_f3323_chunk_5.wav,4.648875,more than in any other country I suppose,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883963_f1033_chunk_0.wav,4.669625,Why vegetables and fruits are getting delivered next day when the estimated delivery is today?,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887704_f3204_chunk_2.wav,4.7,"but in Gujarat, the very famous Kankaria indoor stadium, which",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887704_f3204_chunk_7.wav,4.7249375,"enough sporting facilities are available, but",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887704_f3204_chunk_9.wav,4.762375,that must be in the mind of the government.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887081_f2283_chunk_10.wav,4.8705,and I want it to be recorded and to be given to the next generation,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976895910_f892_chunk_0.wav,4.9155,The brand of One Good Plant based Nuggets I recieved is not correct,Male,45-60,Gujarati,Gujarat,Amreli,Post Graduate,Part Time,Education and Research
audio/281474976883995_f3192_chunk_5.wav,4.9535625,and the social is like disconnect between upper class and lower class,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883989_f3285_chunk_5.wav,4.968375,We can watch movies of our interest directly by searching them.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883994_f3251_chunk_2.wav,5.0,The first is to have belief in one and true God,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976885722_f1974_chunk_0.wav,5.0489375,Gujarat has symbolized that Gamthi culture and it is famous worldwide.,Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976885719_f1863_chunk_0.wav,5.0691875,"Yes, it often makes me happy and joyful when I'm not in mood.",Female,18-30,Gujarati,Gujarat,Amreli,Graduate,Other,Entertainment
audio/281474976883991_f2291_chunk_2.wav,5.088375,set up to look into the corruptions by bureaucrats,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887084_f1850_chunk_2.wav,5.089625,"For example, there is an event called abhivyakti taking place in Ahmedabad",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887083_f2168_chunk_5.wav,5.0975625,"there are diploma courses, there are certificate courses, there are online courses available",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887085_f3313_chunk_0.wav,5.18125,"Art and craft are expression of oneself, what one is feeling, what one is seeing.",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883994_f3251_chunk_3.wav,5.245875,The other is that do not harm any human being,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887080_f3201_chunk_6.wav,5.2599375,The originality has its charm of its own. We don't need to make fusions.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887704_f3204_chunk_3.wav,5.3,hosts pro kabaddi and all the other indoor tournaments is there.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887694_f2287_chunk_0.wav,5.36425,"Ramesh, Suresh, Bharat, Arvind, Umang.",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887683_f684_chunk_0.wav,5.37475,Please transfer Rs 400 to my PayUmoney wallet.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887698_f2175_chunk_1.wav,5.4046875,There was a movie called What's your Raashee which was based on that book.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887080_f3201_chunk_4.wav,5.4795625,vocal codes which can be trained and which are unique individually.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883953_f3075_chunk_0.wav,5.4938125,Distinctions in what constitute a sailing boat and ship vary by region and maritime culture.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976883956_f1029_chunk_0.wav,5.5070625,A few tributaries form marshy land in early dry season due to natural seepage,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887084_f1850_chunk_1.wav,5.5233125,Artist can present their work at different fairs which are taking place,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887705_f3172_chunk_3.wav,5.5475625,so that initiative has made a good difference.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883995_f3192_chunk_1.wav,5.5493125,The main challenges are mainly economic and social because the environment here is very good.,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887704_f3204_chunk_8.wav,5.550125,"in village areas, these these facilities are lacking. so i think",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887048_f247_chunk_1.wav,5.6170625,"the 2011 census, there are 2 million people living in Nagaland.",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887704_f3204_chunk_5.wav,5.6375,"the stadium in Rajkot, there is a stadium in Baroda.",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887705_f3172_chunk_5.wav,5.695,medicine and and surgery from good hospitals because of that card.,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883998_f2011_chunk_5.wav,5.7526875,So that makes grammar more reliable and easy to follow,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887707_f3323_chunk_1.wav,5.7845,because this is how languages work and,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887070_f2529_chunk_1.wav,5.82825,Can you list all the AICTE approved University,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887704_f3204_chunk_4.wav,5.93,"And there are many cricket stadiums, the famous Narendra Modi cricket stadium,",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887081_f2283_chunk_0.wav,6.08,My future aspiration regarding singing is that I want to compile and record,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883989_f3285_chunk_2.wav,6.111625,"And if we are to compare it with traditional cable TV or satellite TV,",Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887069_f2936_chunk_1.wav,6.1138125,76486997868,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887080_f3201_chunk_1.wav,6.1200625,"For example, many singers who are legendary like Lata Mangeshkar, Mohd. Rafi ji,",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887082_f3312_chunk_0.wav,6.1685,Social media and online education platforms plays a vital role in the field of education.,Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976887707_f3323_chunk_3.wav,6.24225,in India English is spoken with I think 20 or 50 accents,Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887698_f2175_chunk_0.wav,6.254875,"Yes, it is a Gujarati book by Madurai called Kimball Ravenswood.",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887082_f3312_chunk_1.wav,6.4399375,"the Conventional way of teaching and education, the classroom teaching is now changing.",Female,30-45,Gujarati,Gujarat,Amreli,Post Graduate,Freelance,Education and Research
audio/281474976883995_f3192_chunk_0.wav,6.458,So let's first talk about the challenges and then we will talk about the opportunities of my district,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
audio/281474976887678_f836_chunk_0.wav,6.5400625,"The product Biotique Shampoo & Conditioner is damaged, I want to return it.",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976887704_f3204_chunk_6.wav,6.575,"And I think in all the major cities of Gujarat,",Male,30-45,Gujarati,Gujarat,Sabarkantha,Post Graduate,Part Time,Education and Research
audio/281474976883974_f1037_chunk_0.wav,6.577875,What is the status of my EPFO claim having tracking ID 7737686728,Male,18-30,Gujarati,Gujarat,Sabarkantha,Post Graduate,Full Time,Information and Media
