text,audio_file
Art and craft are expression of oneself what one is feeling what one is seeing,output_data/processed_131.wav
Garba,output_data/processed_17.wav
Yes I have watched quite a few TV shows on the Prime videos,output_data/processed_166.wav
did i set an alarm to have tablets in the noon,output_data/processed_72.wav
handle codes of conduct and there is one to investigate into Corruption into selections and one is I think,output_data/processed_212.wav
hosts pro kabaddi and all the other indoor tournaments is there,output_data/processed_134.wav
Then there are many features that make grammar of English language unique,output_data/processed_197.wav
then the experience here is quite unique because here you dont have to wait for the ads You can watch movies continuously without interruption from ads,output_data/processed_222.wav
this incident was the third major attack this week,output_data/processed_63.wav
which is the nearest medical store,output_data/processed_54.wav
70 of the rural schools in Gujarat which are,output_data/processed_107.wav
Can you speak five district names,output_data/processed_50.wav
or any new such belief or encounter if they encounter any new tradition about religion then they discuss that,output_data/processed_200.wav
This area is also known as Navegaon Bandh locally because of the presence of the water body,output_data/processed_174.wav
Online education opens doors of endless opportunities for the people in the rural area,output_data/processed_201.wav
A cruise boat service has been started by the tourism department for visitors to the dam and reservoir,output_data/processed_189.wav
I think every major university in Gujarat has an exchange program for students who want to go abroad And there are many technical universities who send their bright students abroad on scholarships,output_data/processed_238.wav
Even from young agelike students from standard 8 9 are also taught how they will get job or how they will set up business,output_data/processed_213.wav
Open MobiKwik QR code scanner and upload the first picture from my gallery for scanning,output_data/processed_169.wav
the tradition continues,output_data/processed_58.wav
meaning of a particular word,output_data/processed_48.wav
Vocational training or skill development opportunity,output_data/processed_88.wav
Lagna Geet,output_data/processed_21.wav
Chicago Northern London,output_data/processed_57.wav
of course in India English is not spoken with one accent,output_data/processed_203.wav
So lets first talk about the challenges and then we will talk about the opportunities of my district,output_data/processed_160.wav
This book I keep coming back to this book because first it is an experimental novel This type of novels are not usually written in Gujarati,output_data/processed_234.wav
to fellow religion members and exchange the information or new knowledge that they have gathered during that period,output_data/processed_187.wav
There are so many unique features in English language if we are to talk strictly about grammar and punctuation,output_data/processed_191.wav
For example there is an event called abhivyakti taking place in Ahmedabad,output_data/processed_129.wav
It was pretty well,output_data/processed_37.wav
in India English is spoken with I think બ0 or 50 accents,output_data/processed_157.wav
So the Economics part The thing is that most of the people here depend on agriculture So and they mainly depend on cash crops,output_data/processed_227.wav
Yes,output_data/processed_1.wav
Can you name five states of India,output_data/processed_52.wav
because this is how languages work and,output_data/processed_149.wav
there are diploma courses there are certificate courses there are online courses available,output_data/processed_130.wav
And there are many cricket stadiums the famous Narendra Modi cricket stadium,output_data/processed_151.wav
I do much Riyaz or practice before the recording session,output_data/processed_103.wav
In the academic year બ0એક9  બ0બ0,output_data/processed_99.wav
more than in any other country I suppose,output_data/processed_116.wav
The main beliefs and teachings of this religion,output_data/processed_87.wav
So there is more focus on joboriented courses and less on personality development courses and language courses,output_data/processed_202.wav
I want to return product Happy Jars,output_data/processed_74.wav
Other than that people of Rajasthan Madhya Pradesh and Maharashtra also depend on Ahmedabad for better and affordable medical services,output_data/processed_214.wav
Yeah many many words from Indian languages have crept in in English,output_data/processed_210.wav
and I want it to be recorded and to be given to the next generation,output_data/processed_121.wav
The government and people arrange and celebrate different festivals associated with environment For example for lions Asiatic lions we have Lions Day celebrated near the Gir forest Some cultural programs are arranged at historical places such as Tana Riri festival music festival at Modhera Sun Temple,output_data/processed_241.wav
Halarda,output_data/processed_20.wav
Show the current holdings of my APY account with PRAN number 3બ9498585879,output_data/processed_188.wav
Shakespeare is the favorite writer of mine,output_data/processed_71.wav
What are the new products with discounts of at least 30,output_data/processed_106.wav
Raaz,output_data/processed_14.wav
I want to return product Hello Tempayy Soyabean Tempeh Cubes,output_data/processed_92.wav
Find all blood banks having atleast એકબ units of A available blood at in district Hyderabad,output_data/processed_179.wav
I am unable to deactivate autopay for my TataCliq,output_data/processed_102.wav
